"","ecEp.stem.cell","ecEp.nb.pd.","ecEp.nem.id.","ecEp.basal.disk","ecEp.head","ecEp.battery.cell1.mp.","ecEp.battery.cell2.mp.","enEp.stem.cell","enEp.nb.pd.","enEp.nem.pd.","enEp.tent.nem.pd.","enEp.foot","enEp.head","enEp.tentacle","i.stem.cell.progenitor","i.nematocyte","i.nb1","i.nb2","i.nb3","i.nb4","i.nb5","i.granular.mucous.gland.cell","i.spumous.mucous.gland.cell","i.zymogen.gland.cell","i.male.germline","i.female.germline1","i.female.germline2.nurse","i.neuron.gland.cell.progenitor","i.neuron.progenitor","i.neuron.ec1","i.neuron.ec2","i.neuron.ec3","i.neuron.ec4","i.neuron.ec5","i.neuron.en1","i.neuron.en2","i.neuron.en3","db"
"t20729aep-OPSP-COLLI",0,0,0,0,0.0020686069374705,0,0,0,0,0,0,0.00092940260373337,0,0,0.00764605083354192,0,0,0,0,0,0,0,0,0,0,0,0,0.0275903857145484,0.0307124886992471,0.0181129888242859,0,0.156490230602337,0,0,0.0185541493571915,0,0,0
"t20043aep-OPSX-HUMAN",0.0301114910271408,0.0324250400100965,0.0387039524570856,0.00207580163307466,0.0378553897250464,0.0188238047489807,0.0329805042221429,9.67632499369587e-05,0,0.00261812043039805,0.155083552230851,0.000627227166061591,0.00200915168592941,0.0353612652225359,0,0,0,0,0,0,0.00904316119977428,0,0.000428983405849403,0.0064242414898073,0.00342148797090367,0.00844800086507529,0,0.000942936500393016,0,0.144328227440746,0.444828964453187,0,0,0.159793442149357,0,0,0,0
"t20044aep",0,0,0,0,0,0,0,0,0,0,0.0148758389711941,0,0,0.0171158837832166,0,0,0,0,0,0,0,0,0,0.00258687301635344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t29150aep-OPSX-HUMAN",0.0619482259584154,0.0779737214416412,0.0654059706662965,0.0227557692225943,0.0686275277390706,0.0155068162078424,0.0239534458751639,0.00125008699824365,0,0,0.0413575414252265,0.0827378166071351,0.00526856832752367,0.001345207389278,0.00144636267384138,0.00747907993653501,0.00446303552134876,0,0,0.0063060052087603,0.0041408745895035,0.00270153447157986,0,0,0,0.0105289792826438,0.00173066432588548,0,0,0.0101967219686542,0,0,0,0,0,0,0,0
"t25412aep-OPSO-SALSA",0.000674989010504417,0.00056674971250204,0.00139372433805063,0.00812720232532359,0.00461769447897952,0,0.00181642898786262,0.00452002797162885,0,0,0,0.00063235016162554,0,0,0.00215188910048404,0,0,0.00112908412309004,0.00115195561745397,0,0,0,0,0.000784098236845341,0.00697187198248666,0,0,0,0.00829684794449741,0.551850180100358,0,0.215883470205732,0.243628370057987,0.415835071197433,0.654154407858456,0.0142507998261402,0,0.0148502726966999
"t3168aep-OPN3-HUMAN",0.000854274392782537,0,0.00195546506771314,0,0.00121627127714565,0,0,0,0,0,0,0,0,0,0,0.052168507099121,0.000340190693212699,0,0,0,0,0,0,0,0,0,0.000747025493888435,0,0,0.00912363806892726,0,0.0405979262579267,0,0,0,0,0,0
"t3233aep",0.00303852258855838,0.0192116009743003,0.00513933764222476,0,0.00267106037050063,0,0.0130750353601499,0.000824730069126156,0,0.00235592793876095,0,0,0,0.00403363405419752,0,0,0,0,0,0,0,0,0,0,0,0.00698727443393475,0.0145331546824289,0,0,0.016967154981387,0.0137701974370909,0,0,0.0298329355608592,0,0,0,0
"t32881aep-OPN3-MOUSE",0.00461638231996235,0.0119607799349462,0.00427740715656754,0.00298326507622839,0.00469930324513922,0,0,0.000215769002883968,0,0.000844723657525039,0,0,0,0,0,0.00163450612416755,0,0,0,0,0,0,0.00273466726756422,0,0,0.010162250265021,0.0146386107294891,0,0,0,0.0137701974370909,0,0,0,0,0,0,0
"t3169aep-OPSX-HUMAN",0,0,0.000810499469487572,0,0,0,0,0,0,0.00152166539582245,0,0.000620913573735753,0,0,0,0.0184197490864429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320006144117967,0,0,0,0,0,0,0
"t21413aep-OPN4-PHOSU",0.00161497032896073,0.00363808860783854,0.000457964198923528,0.005577515461177,0.00322379919033935,0,0.0407060278096898,0.00513495761929634,0.00217904991680387,0,0.00358662304376613,0.0104102357830495,0.0151933356780212,0.00271703100241055,0.00210604660723263,0.0862812271249021,0,0.00221126222385757,0,0.0276848555747921,0,0.697930647767791,0.597465765953903,0.0246753093092002,0.00529957152964183,0,0.00205818813074865,0.0311651482796036,0.0128564643430865,0.137770500562375,0.0315543017979641,0.144978912483011,0.231210387734512,0,0.199506852476072,0.894839650010702,0.153054016645712,0.0467961212830492
"t24564aep-OPSR-CAPHI",0,0.000672445800364156,0,0.00398556905157805,0.000433793277115171,0.0171312563540444,0.00466160171457043,0.000163367153999806,0,0,0,0,0,0.00337257663505888,0.000546966061302862,0.00953162545668401,0,0,0,0,0,0,0,0,0,0,0,0.00105205704505792,0.0110515066519019,0.0670820998137824,0,0.250948510124497,0.0404899281303776,0.0905797101449275,0,0.0139205775369209,0,0
"t31971aep",0.000424852166044065,0.000363534864702139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00855527516875772,0,0,0,0,0,0,0,0,0,0,0.000653538302115334,0,0,0,0,0,0,0.453469036317697,0,0,0,0
"t355aep-OPSG3-DANRE",0.000171860296277527,0.00069383488159118,0.00108573660225462,0,0,0,0,0.000232375886586625,0,0,0,0.00253927686306231,0,0,0,0.00354445149790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011175481886779,0,0,0,0.385930621084727,0,0,0,0
"t10575aep-OPSR-BOVIN",0.000631997635823244,0,0,0.00210383166653763,0.00274622919706293,0,0,0.000686576439993706,0,0,0.0198338987949075,0.00117177658907553,0,0.00211181556585465,0,0,0.00151371852827808,0,0,0,0,0,0,0,0.00816940069276518,0,0,0,0,0.177607862086146,0,0.030653278270946,0,0.508752610863972,0,0.0243318474685146,0,0
"t24044aep-OPSP-ICTPU",0.00168585294435971,0,0.0138836976785009,0,0,0,0.000384706767269025,0.000434920554149675,0,0,0,0,0,0.00488676390675273,0,0.0213077268442831,0,0,0.00369788569687396,0,0,0,0,0,0,0,0,0,0,0.0764794991462307,0,0,0,0,0,0,0,0
"t26793aep-OPSO-RUTRU",0.000826735241503543,0.000857371677395387,0,0,0.00152493224540235,0.00109323071541018,0.00324474374904115,0.000459051758810373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000846576756828784,0,0,0.104685202353601,0,0.111405437956345,0.0991695017246065,0,0,0.0142507998261402,0.039441663807146,0
